EcoBoundaryID,AdminBoundaryID,SpeciesTypeID,StratumID,SecondaryStratumID,StateClassID,AverageTemperature
Mixedwood Plains,Ontario,Spruce - Genus type,Ridge and Valley,West Virginia,Forest: Spruce/Fir Group,7.034435878
Mixedwood Plains,Ontario,Spruce - Genus type,Central Appalachians,West Virginia,Forest: Spruce/Fir Group,7.434875415
Boreal Shield West,Ontario,Spruce - Genus type,Northern Lakes and Forests,Wisconsin,Forest: Spruce/Fir Group,4.798245673
Mixedwood Plains,Ontario,Spruce - Genus type,North Central Hardwood Forests,Wisconsin,Forest: Spruce/Fir Group,6.416446746
Mixedwood Plains,Ontario,Spruce - Genus type,Driftless Area,Wisconsin,Forest: Spruce/Fir Group,6.762971329
Mixedwood Plains,Ontario,Spruce - Genus type,Southeastern Wisconsin Till Plains,Wisconsin,Forest: Spruce/Fir Group,7.849575005
Mixedwood Plains,Ontario,Pine - Genus type,Piedmont,Alabama,Forest: Longleaf/Slash Pine Group,16.01817071
Mixedwood Plains,Ontario,Pine - Genus type,Southeastern Plains,Alabama,Forest: Longleaf/Slash Pine Group,18.78164547
Mixedwood Plains,Ontario,Pine - Genus type,Ridge and Valley,Alabama,Forest: Longleaf/Slash Pine Group,17.08159582
Atlantic Maritime,Quebec,Pine - Genus type,Southern Coastal Plain,Alabama,Forest: Longleaf/Slash Pine Group,19.54516868
Mixedwood Plains,Ontario,Pine - Genus type,Southeastern Plains,Florida,Forest: Longleaf/Slash Pine Group,19.58454075
Atlantic Maritime,Quebec,Pine - Genus type,Southern Coastal Plain,Florida,Forest: Longleaf/Slash Pine Group,20.96285795
Atlantic Maritime,Quebec,Pine - Genus type,Southern Florida Coastal Plain,Florida,Forest: Longleaf/Slash Pine Group,23.87988283
Mixedwood Plains,Ontario,Pine - Genus type,Piedmont,Georgia,Forest: Longleaf/Slash Pine Group,15.77085978
Mixedwood Plains,Ontario,Pine - Genus type,Southeastern Plains,Georgia,Forest: Longleaf/Slash Pine Group,19.01548064
